"id","name","education","height","identity","other_aliases","universe","weight"
1031,MVP,"(Progenitor) incomplete college studies, University of Kentucky; (clone) has both MVP's college memories",180,Publicly known,None,Marvel Universe,78
986,Living Mummy,<a href='/teams-and-groups/s-h-i-e-l-d'>S.H.I.E.L.D.</a> covert operations training,228,No dual identity,"The Mummy, ""Captain Ace Bandages""",Marvel Universe,293
942,Human Robot,Able to access knowledge from any computer database on Earth,190,No dual identity,None,Marvel Universe,225
1066,Praxagora,Accelerated Intelligence,162,No dual identity,Unknown,Marvel Universe,450
855,Blue Marvel,Adam holds a PhD in Electrical Engineering and Theoretical Physics from Cornell,190,,"Blue Bomber of Battle, Magnificent Master of Might, Man of Marvels",Marvel Universe,108
830,Arnim Zola,Advanced degree in 1930’s sciences,177,No dual identity,Bio-Fanatic,Marvel Universe,90
878,Controller,"Advanced degree in science, engineering",187,Secret,Alexander Basel,Marvel Universe,254
993,Maelstrom,Advanced training in <a href='/teams-and-groups/inhumans'>Inhuman</a> and <a href='/characters/deviants'>Deviant</a> genetic sciences,248,The general populace of Earth were unaware of Maelstrom's existence.,"Malcom Stromberg, The Cosmic Assassin, Anomaly II",Marvel Universe,191
814,Alicia Masters,B.A. in Fine Arts,162,Publicly known,"Alicia Reiss (birth name); the name Alicia Masters-Storm was used by Skrull impostor Lyja, but was popularly believed to have been used by Alicia",Marvel Universe,50
867,Carlie Cooper,"B.S. in biochemistry, M.S. in forensic science, various NYPD Training Academy courses",172,No dual identity,None,Marvel Universe,60
923,Geiger,BS in physics from Empire State University,172,Known,Mistaken for ,Marvel Universe,55
1008,Menace,Collage graduate,167,Secret,"Menace of Manhattan, Grey Goblin, Mock-Goblin",Marvel Universe,52
1012,Mimic,College Graduate,187,Secret,"Cal, Wolverine",Marvel Universe,101
928,Gravity,College Student,177,Secret,None,Marvel Universe,79
935,Harry Osborn (Ultimate),College degree,177,Publicly known,Formerly the Green Goblin,Marvel Universe,77
934,Harry Osborn,College degree,177,Publicly known,Formerly the Green Goblin,Marvel Universe,77
889,Cyclops (X-Men: Battle of the Atom),"College degree from Professor Xavier's School for Gifted Youngsters, post-graduate courses",190,Publicly known,"""Slim""; formerly Slym Dayspring, Mutate #007, Erik the Red",Marvel Universe,88
888,Cyclops (Ultimate),"College degree from Professor Xavier's School for Gifted Youngsters, post-graduate courses",190,Publicly known,"""Slim""; formerly Slym Dayspring, Mutate #007, Erik the Red",Marvel Universe,88
1058,Pepper Potts,College degree in business,162,No dual identity,"Rescue, Hera, Virginia ""Pepper"" Potts Hogan",Marvel Universe,50
909,Emma Frost,"College degree in business administration, qualified sex therapist",177,"Frost is known to have been a leader of the Hellfire Club, but her past criminal activities are not public knowledge",Formerly White Queen,Marvel Universe,65
951,Iceman,"College degree, Certified Practicing Accountant accreditation",172,"Secret, known to certain government officials","Formerly Mister Friese, Drake Roberts, Rampage",Marvel Universe,65
953,Iceman (X-Men: Battle of the Atom),"College degree, Certified Practicing Accountant accreditation",172,"Secret, known to certain government officials","Formerly Mister Friese, Drake Roberts, Rampage",Marvel Universe,65
952,Iceman (Ultimate),"College degree, Certified Practicing Accountant accreditation",172,"Secret, known to certain government officials","Formerly Mister Friese, Drake Roberts, Rampage",Marvel Universe,65
991,Madame Web (Julia Carpenter),"College dropout, federal agent training",175,"Secret, known to certain government officials",Spider-Woman; considered using Ariadne,Marvel Universe,63
1004,Mary Jane Watson,College educated,172,No dual identity,"MJ, Crimson She-Devil",Marvel Universe,54
1006,Mary Jane Watson (Ultimate),College educated,172,No dual identity,"MJ, Crimson She-Devil",Marvel Universe,54
1005,Mary Jane Watson (House of M),College educated,172,No dual identity,"MJ, Crimson She-Devil",Marvel Universe,54
864,Captain Stacy,College educated,185,Public,None,Marvel Universe,86
977,Kraven the Hunter,College educated,182,No dual identity,"Kraven the Hunter, World's Greatest Hunter, the Grim Hunter",Marvel Universe,106
847,Big Wheel,College educated,165,Publicly known,"""Round Ravager of the Ring,"" ""Circular Crushing King,"" ""Dynamic Donut of Destruction""",Marvel Universe,63
925,George Stacy (Ultimate),College educated,185,Public,None,Marvel Universe,86
1085,Rocket Racer,College education,177,Known to authorities,Robert Johnson,Marvel Universe,72
880,Count Nefaria,College graduate,187,Publicly known,"Stox, Dream Maker, Dream Master",Marvel Universe,104
1317,Nancy,College graduate,187,Publicly known,,Marvel Universe,103
1241,Micha,College graduate,187,Known to authorities,,Marvel Universe; formerly Earth-4935,108
834,Baron Zemo (Heinrich Zemo),College graduate,177,Publicly known,"Iron Cross, Citizen V, Mark Evanier, Phoenix",Marvel Universe,82
1301,Bri,College graduate,185,Not known to the general populace of Earth,,Marvel Universe; formerly Earth-4935,104
1404,Brandi,College graduate,170,Known to authorities,,Earth-712,90
1265,Scott,College graduate,187,Publicly known,,Marvel Universe; formerly Earth-4935,103
1372,Gary,College graduate,180,Secret,,Wildways ('Mojoverse'),82
1048,Nova (Frankie Raye),College graduate,167,Secret,Human Torch,Marvel Universe,63
1023,Molten Man,College graduate,195,Publicly known,None,Marvel Universe,248
835,Baron Zemo (Helmut Zemo),College graduate,177,Publicly known,"Iron Cross, Citizen V, Mark Evanier, Phoenix",Marvel Universe,82
1082,Richard Fisk,College graduate,177,Secret,"The Schemer, Supreme Hydra, the Rose, Blood Rose",Marvel Universe,83
